Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Applicant_Age,Loan_Status
Male,No,3+,Graduate,No,8192,0,700,240,1.0,Urban,53,N
Female,No,3+,Not Graduate,Yes,8856,0,700,360,0.0,Urban,33,N
Male,No,3+,Graduate,Yes,6840,3375,700,360,1.0,Rural,47,N
Female,Yes,2,Graduate,No,8135,0,700,360,1.0,Semiurban,39,N
Male,No,0,Graduate,No,5334,2194,700,360,0.0,Urban,58,N
Male,No,2,Not Graduate,No,7088,2353,700,360,1.0,Rural,63,N
Male,Yes,3+,Not Graduate,No,9093,1631,700,240,1.0,Urban,23,N
Male,Yes,0,Graduate,No,4979,3243,700,120,1.0,Rural,57,N
Female,Yes,1,Not Graduate,No,9456,4866,700,240,1.0,Semiurban,42,N
Female,Yes,0,Graduate,No,6272,3917,700,360,1.0,Urban,25,N
Female,Yes,1,Graduate,No,5743,2608,700,360,1.0,Urban,57,N
Female,Yes,0,Graduate,No,9022,0,700,360,1.0,Rural,45,N
Male,No,1,Graduate,No,8480,2699,700,360,1.0,Urban,31,N
Female,Yes,1,Graduate,No,8839,4453,700,360,0.0,Rural,27,N
Male,Yes,3+,Graduate,No,6253,0,700,360,1.0,Semiurban,57,N
Male,No,1,Graduate,Yes,8807,3778,700,120,1.0,Urban,36,N
Male,Yes,2,Graduate,No,8485,0,700,360,1.0,Urban,59,N
Male,No,0,Graduate,No,6737,2536,700,360,1.0,Rural,51,N
Male,Yes,0,Graduate,No,6872,3546,700,240,1.0,Urban,34,N
Male,No,0,Graduate,No,10620,4033,700,360,1.0,Rural,37,Y
Female,Yes,0,Graduate,No,6102,0,700,360,1.0,Rural,53,N
Male,Yes,0,Not Graduate,No,6998,2627,700,360,1.0,Semiurban,57,N
Male,Yes,1,Not Graduate,No,7948,0,700,360,1.0,Rural,51,N
Male,No,1,Graduate,No,9038,4674,700,240,1.0,Semiurban,61,N
Male,No,1,Graduate,No,6480,0,700,360,1.0,Urban,40,N
Female,Yes,0,Graduate,No,5544,2174,700,360,1.0,Urban,34,N
Male,No,0,Not Graduate,No,5532,0,700,360,1.0,Semiurban,28,N
Female,Yes,1,Graduate,No,7690,4685,700,360,1.0,Semiurban,64,N
Female,Yes,0,Not Graduate,Yes,10020,2233,700,360,1.0,Rural,54,N
Male,No,0,Graduate,No,7026,0,700,360,0.0,Semiurban,53,N
Male,Yes,0,Not Graduate,No,6006,4794,700,360,1.0,Rural,22,N
Female,Yes,0,Graduate,No,7600,0,700,360,1.0,Semiurban,61,N
Female,No,0,Not Graduate,Yes,4029,4925,700,240,1.0,Semiurban,54,N
Female,No,0,Graduate,No,5056,0,700,360,1.0,Urban,34,N
Female,No,0,Not Graduate,No,10513,2833,700,360,1.0,Urban,26,N
Male,No,1,Graduate,No,10413,2313,700,240,1.0,Urban,47,N
Male,Yes,0,Graduate,No,5546,0,700,360,1.0,Urban,35,N
Male,No,0,Not Graduate,Yes,7734,0,700,360,1.0,Rural,59,N
Female,Yes,3+,Graduate,No,10901,0,700,360,1.0,Rural,35,N
Female,No,2,Graduate,No,7590,4133,700,360,1.0,Urban,64,N
Male,Yes,0,Graduate,No,7328,0,700,360,1.0,Urban,37,N
Male,Yes,3+,Graduate,No,5510,0,700,120,1.0,Rural,34,N
Male,Yes,0,Not Graduate,No,6158,3281,700,360,1.0,Urban,32,N
Male,Yes,0,Graduate,No,4873,3042,700,360,1.0,Urban,47,N
Female,Yes,3+,Graduate,No,4192,3024,700,360,1.0,Urban,44,N
Female,No,3+,Not Graduate,No,7843,3029,700,360,1.0,Rural,48,N
Female,No,0,Graduate,No,6934,5325,700,360,1.0,Semiurban,38,N
Male,Yes,1,Not Graduate,No,5801,0,700,360,1.0,Rural,62,N
Male,No,1,Not Graduate,No,8356,0,700,360,1.0,Urban,56,N
Female,Yes,0,Graduate,No,5445,4670,700,240,1.0,Semiurban,22,N
Female,Yes,0,Graduate,No,5504,2829,700,360,0.0,Semiurban,42,N
Male,Yes,0,Not Graduate,No,7502,3161,700,360,0.0,Rural,38,N
Female,No,3+,Not Graduate,No,6240,2106,700,360,1.0,Rural,48,N
Male,No,0,Not Graduate,No,7338,0,700,360,1.0,Urban,50,N
Male,Yes,2,Graduate,No,5881,2937,700,360,1.0,Urban,45,N
Male,Yes,0,Graduate,No,6314,4872,700,360,1.0,Rural,39,N
Male,Yes,0,Graduate,No,4063,0,700,120,1.0,Urban,48,N
Male,Yes,1,Graduate,No,6692,0,700,360,1.0,Rural,55,N
Male,Yes,1,Graduate,No,6123,0,700,360,1.0,Urban,34,N
Female,Yes,0,Graduate,No,8995,0,700,180,0.0,Semiurban,55,N
Male,No,0,Graduate,No,11067,0,700,360,1.0,Semiurban,38,Y
Male,No,1,Graduate,No,5986,0,700,360,1.0,Urban,51,N
Female,Yes,0,Not Graduate,Yes,6884,0,700,360,1.0,Urban,61,N
Male,Yes,0,Not Graduate,Yes,5069,4544,700,360,1.0,Semiurban,23,N
Male,Yes,1,Graduate,No,10244,0,700,240,0.0,Rural,62,N
Female,No,1,Graduate,No,8518,3795,700,360,1.0,Urban,40,Y
Male,No,0,Graduate,No,7354,2998,700,240,1.0,Urban,48,N
Male,No,1,Graduate,No,5152,2497,700,360,1.0,Semiurban,31,N
Male,Yes,3+,Graduate,No,7111,3466,700,360,1.0,Semiurban,24,N
Male,No,0,Graduate,No,7944,5436,700,360,1.0,Rural,32,N
Female,Yes,1,Graduate,No,4724,0,700,360,1.0,Semiurban,40,N
Female,Yes,0,Graduate,Yes,9651,0,700,360,1.0,Rural,59,N
Female,Yes,0,Graduate,No,9343,2490,700,360,1.0,Rural,56,N
Female,Yes,0,Graduate,No,5615,0,700,360,1.0,Rural,27,N
Female,No,0,Graduate,No,7488,0,700,360,1.0,Semiurban,64,N
Male,No,2,Graduate,Yes,4779,0,700,360,1.0,Rural,49,N
Female,Yes,0,Graduate,No,8269,2605,700,360,1.0,Rural,43,N
Male,Yes,1,Graduate,Yes,8861,0,700,360,1.0,Semiurban,52,N
Female,Yes,0,Graduate,No,5967,2467,700,360,0.0,Semiurban,30,N
Female,Yes,0,Not Graduate,No,5841,2940,700,360,1.0,Semiurban,37,N
Male,Yes,1,Graduate,Yes,6839,5870,700,360,1.0,Semiurban,43,Y
Male,No,2,Graduate,Yes,6402,0,700,240,1.0,Semiurban,33,N
Male,No,2,Not Graduate,No,8028,4262,700,120,1.0,Semiurban,49,N
Male,No,2,Graduate,No,5742,4447,700,120,1.0,Semiurban,42,N
Female,No,0,Graduate,Yes,5073,0,700,360,1.0,Rural,41,N
Female,Yes,2,Graduate,No,7207,0,700,360,1.0,Rural,28,N
Male,Yes,0,Graduate,No,5025,0,700,180,1.0,Rural,32,N
Male,Yes,2,Graduate,No,7029,3054,700,240,1.0,Semiurban,44,N
Male,Yes,3+,Graduate,Yes,8244,0,700,240,1.0,Rural,38,N
Male,No,0,Not Graduate,No,8183,1886,700,360,1.0,Rural,43,N
Male,Yes,0,Graduate,No,5477,2662,700,360,1.0,Semiurban,61,N
Male,Yes,1,Not Graduate,Yes,5278,2628,700,360,1.0,Rural,49,N
Female,Yes,2,Not Graduate,No,5051,3546,700,360,1.0,Rural,48,N
Male,No,0,Not Graduate,No,6090,4490,700,180,1.0,Urban,63,N
Male,Yes,3+,Not Graduate,No,6182,2566,700,360,1.0,Rural,52,N
Female,No,1,Graduate,Yes,5864,0,700,180,1.0,Rural,54,N
Male,No,0,Graduate,No,7429,0,700,240,1.0,Rural,45,N
Female,Yes,0,Graduate,No,5240,3714,700,360,0.0,Urban,58,N
Female,Yes,2,Not Graduate,No,9972,3335,700,180,1.0,Rural,52,N
Male,No,0,Graduate,No,6457,4137,700,360,0.0,Semiurban,64,N
Male,Yes,0,Graduate,No,6799,2726,700,240,1.0,Semiurban,64,N
Male,No,1,Not Graduate,No,8711,4641,700,360,1.0,Semiurban,23,N
Male,Yes,1,Graduate,No,11991,0,700,120,1.0,Rural,59,N
Male,Yes,1,Graduate,No,7011,4090,700,360,1.0,Semiurban,45,N
Female,No,0,Graduate,Yes,8217,2902,700,360,1.0,Semiurban,26,Y
Male,No,2,Graduate,No,8158,0,700,360,0.0,Urban,56,N
Male,No,3+,Graduate,Yes,5548,3878,700,360,1.0,Semiurban,30,N
Male,No,0,Graduate,No,7229,2390,700,240,1.0,Urban,33,N
Female,No,2,Not Graduate,No,5659,2551,700,360,1.0,Rural,42,N
Male,No,3+,Graduate,Yes,6376,4807,700,360,0.0,Rural,39,N
Male,No,1,Graduate,Yes,7303,0,700,360,0.0,Semiurban,27,N
Male,Yes,1,Graduate,No,6424,0,700,360,1.0,Rural,45,N
Female,Yes,0,Graduate,No,7510,3595,700,360,1.0,Urban,52,N
Male,No,1,Graduate,No,5869,0,700,360,1.0,Rural,35,N
Female,Yes,1,Graduate,No,6783,4211,700,180,1.0,Urban,30,N
Female,Yes,2,Graduate,No,4727,0,700,360,1.0,Rural,55,N
Male,Yes,3+,Graduate,No,7957,3428,700,360,1.0,Urban,59,N
Female,Yes,0,Graduate,No,6806,3683,700,360,1.0,Rural,47,N
Male,Yes,0,Graduate,No,4226,0,700,240,1.0,Semiurban,47,N
Female,Yes,0,Graduate,No,7515,0,700,360,1.0,Semiurban,55,N
Female,No,2,Graduate,No,4805,1783,700,180,1.0,Rural,59,N
Male,Yes,0,Graduate,Yes,7083,4524,700,360,1.0,Rural,40,N
Male,Yes,1,Not Graduate,Yes,6662,0,700,120,0.0,Semiurban,55,N
Female,Yes,0,Graduate,No,7385,0,700,360,1.0,Rural,63,N
Male,Yes,0,Graduate,No,6301,3204,700,360,1.0,Rural,63,N
Male,Yes,0,Not Graduate,No,4158,1940,700,360,1.0,Rural,63,N
Male,No,3+,Graduate,No,7424,0,700,360,0.0,Urban,31,N
Male,Yes,1,Not Graduate,No,6068,4576,700,360,1.0,Semiurban,61,N
Female,No,3+,Graduate,Yes,5327,0,700,360,1.0,Rural,55,N
Male,Yes,1,Not Graduate,No,9076,2319,700,360,0.0,Semiurban,43,N
Male,Yes,0,Graduate,No,7958,2924,700,360,1.0,Urban,47,N
Male,Yes,0,Graduate,Yes,5210,0,700,360,1.0,Rural,38,N
Female,Yes,3+,Not Graduate,No,7825,0,700,180,1.0,Rural,39,N
Male,No,2,Not Graduate,No,8890,2486,700,360,1.0,Semiurban,59,N
Female,No,0,Graduate,Yes,6446,0,700,360,1.0,Semiurban,23,N
Male,Yes,2,Not Graduate,No,10235,3505,700,360,1.0,Semiurban,44,N
Female,Yes,0,Graduate,No,7600,3155,700,360,1.0,Rural,48,N
Male,Yes,0,Graduate,No,5693,3565,700,360,1.0,Semiurban,64,N
Male,Yes,0,Graduate,No,8120,0,700,360,1.0,Urban,32,N
Male,No,2,Graduate,No,12068,3435,700,240,1.0,Rural,35,N
Female,Yes,0,Graduate,No,6758,2735,700,240,1.0,Semiurban,44,N
Female,No,0,Graduate,No,4879,4029,700,240,1.0,Semiurban,49,N
Male,Yes,0,Graduate,Yes,10177,4161,700,360,1.0,Semiurban,21,N
Female,Yes,0,Graduate,No,9331,3055,700,240,1.0,Semiurban,37,N
Female,Yes,1,Graduate,No,6542,0,700,360,1.0,Urban,37,N
Male,Yes,0,Graduate,Yes,5831,0,700,120,1.0,Semiurban,22,N
Male,No,0,Graduate,No,6955,4352,700,360,1.0,Semiurban,64,N
Male,Yes,3+,Not Graduate,No,7581,3060,700,360,1.0,Semiurban,58,N
Male,No,0,Graduate,No,9016,0,700,360,1.0,Semiurban,58,N
Female,Yes,0,Graduate,No,6132,2487,700,360,0.0,Semiurban,27,N
Female,No,0,Graduate,No,8224,3336,700,360,0.0,Semiurban,34,N
Female,Yes,1,Graduate,No,5902,2600,700,240,1.0,Semiurban,29,N
Male,No,2,Graduate,No,6255,0,700,360,1.0,Semiurban,53,N
Male,No,0,Graduate,No,8967,0,700,360,1.0,Rural,29,N
Female,No,3+,Graduate,No,9354,5625,700,120,0.0,Semiurban,38,N
Female,Yes,2,Not Graduate,Yes,5615,5038,700,360,1.0,Rural,35,N
Female,No,2,Graduate,No,8107,3209,700,120,0.0,Urban,24,N
Female,Yes,0,Not Graduate,No,6711,4763,700,360,1.0,Semiurban,24,N
Female,Yes,0,Graduate,No,7057,3705,700,360,1.0,Urban,29,N
Male,Yes,1,Graduate,No,9283,3005,700,360,1.0,Semiurban,57,N
Male,Yes,3+,Graduate,No,6699,0,700,360,1.0,Rural,44,N
Female,No,1,Graduate,No,7165,3733,700,120,1.0,Semiurban,37,N
Female,Yes,0,Graduate,No,7036,0,700,360,1.0,Rural,46,N
Male,Yes,0,Not Graduate,Yes,8003,3942,700,360,1.0,Semiurban,58,N
Male,Yes,1,Graduate,No,6506,0,700,360,1.0,Urban,35,N
Female,Yes,2,Graduate,No,6751,1830,700,360,1.0,Rural,24,N
Male,No,0,Graduate,No,6526,4014,700,120,1.0,Rural,54,N
Male,Yes,0,Graduate,No,6115,3988,700,360,1.0,Rural,42,N
Male,Yes,0,Graduate,No,9675,2702,700,360,1.0,Semiurban,52,N
Female,Yes,1,Not Graduate,No,7276,2636,700,360,1.0,Urban,52,N
Female,No,2,Graduate,No,7710,4835,700,360,1.0,Semiurban,57,N
Male,No,2,Graduate,No,6625,4017,700,360,1.0,Semiurban,56,N
Female,No,1,Graduate,No,6718,5477,700,360,1.0,Urban,41,N
Male,Yes,0,Graduate,Yes,6060,3221,700,360,1.0,Semiurban,56,N
Male,Yes,1,Graduate,No,5446,0,700,360,1.0,Urban,48,N
Female,Yes,3+,Graduate,No,7268,0,700,360,0.0,Rural,47,N
Female,Yes,3+,Graduate,No,7343,6890,700,360,1.0,Semiurban,59,N
Female,Yes,3+,Graduate,No,5614,0,700,360,1.0,Semiurban,31,N
Female,No,0,Graduate,Yes,7535,0,700,360,0.0,Rural,56,N
Male,Yes,2,Not Graduate,No,8203,0,700,360,0.0,Rural,54,N
Male,Yes,3+,Graduate,No,7787,3197,700,360,1.0,Urban,21,N
Male,No,1,Graduate,No,6491,3714,700,360,1.0,Rural,56,N
Male,No,0,Graduate,No,8368,0,700,360,1.0,Urban,43,N
Male,Yes,3+,Not Graduate,Yes,5987,2205,700,360,1.0,Urban,60,N
Female,Yes,0,Graduate,No,5112,0,700,360,1.0,Rural,46,N
Male,Yes,0,Graduate,No,7189,4506,700,360,1.0,Urban,46,N
Female,Yes,0,Not Graduate,No,7725,0,700,360,1.0,Semiurban,57,N
Female,Yes,1,Graduate,No,9801,0,700,360,0.0,Semiurban,32,N
Female,Yes,0,Graduate,No,6616,0,700,360,1.0,Urban,50,N
Male,No,0,Graduate,No,6673,0,700,360,1.0,Rural,42,N
Male,No,2,Graduate,No,6360,0,700,180,1.0,Urban,58,N
Male,Yes,2,Not Graduate,No,5476,3522,700,180,1.0,Urban,49,N
Male,Yes,2,Not Graduate,No,7678,0,700,360,1.0,Semiurban,56,N
Female,Yes,0,Not Graduate,No,7822,3424,700,360,1.0,Semiurban,23,N
Male,No,1,Not Graduate,No,6305,3869,700,360,1.0,Semiurban,30,N
Male,Yes,0,Graduate,No,6342,0,700,360,1.0,Rural,33,N
Female,Yes,0,Graduate,No,9846,2661,700,360,1.0,Semiurban,46,Y
Male,Yes,0,Graduate,No,4675,3034,700,360,0.0,Urban,51,N
Female,Yes,2,Graduate,No,7578,3116,700,360,1.0,Rural,61,N
Female,No,0,Graduate,Yes,4587,2168,700,360,1.0,Semiurban,61,N
Female,Yes,0,Graduate,No,5636,2929,700,120,1.0,Urban,57,N
Male,Yes,0,Not Graduate,No,6370,2386,700,360,1.0,Urban,53,N
Male,Yes,0,Graduate,No,6163,2243,700,360,0.0,Rural,22,N
Female,Yes,3+,Not Graduate,No,9425,3895,700,360,1.0,Rural,58,N
Male,No,3+,Graduate,No,8553,2132,700,360,1.0,Semiurban,59,N
Female,No,0,Graduate,No,6443,3100,700,360,1.0,Urban,47,N
Female,Yes,0,Not Graduate,No,8686,3415,700,360,0.0,Rural,60,N
Female,Yes,0,Not Graduate,No,4766,2986,700,360,1.0,Semiurban,27,N
Male,Yes,2,Graduate,No,5883,3689,700,360,1.0,Semiurban,33,N
Male,Yes,0,Graduate,No,7209,0,700,360,0.0,Rural,51,N
Female,Yes,0,Graduate,No,5775,3513,700,360,1.0,Semiurban,25,N
Male,No,1,Not Graduate,No,6962,3179,700,240,1.0,Rural,60,N
Male,Yes,0,Graduate,No,6374,0,700,360,1.0,Semiurban,58,N
Male,Yes,0,Graduate,No,6896,4407,700,240,1.0,Rural,56,N
Female,Yes,0,Graduate,No,7383,4705,700,360,0.0,Semiurban,24,N
Female,No,0,Graduate,No,9459,3993,700,360,1.0,Semiurban,62,N
Male,Yes,1,Graduate,No,6620,0,700,360,1.0,Urban,37,N
Male,No,3+,Not Graduate,No,3721,1959,700,360,1.0,Semiurban,32,N
Female,Yes,0,Not Graduate,No,7133,0,700,360,1.0,Urban,35,N
Female,Yes,0,Not Graduate,No,5956,0,700,360,1.0,Urban,41,N
Male,No,3+,Graduate,No,7716,0,700,360,0.0,Urban,48,N
Male,Yes,3+,Not Graduate,No,5486,2724,700,360,1.0,Rural,57,N
Female,No,0,Graduate,No,5937,2819,700,360,0.0,Semiurban,27,N
Female,Yes,1,Graduate,Yes,5637,0,700,360,0.0,Urban,27,N
Female,Yes,0,Graduate,No,4376,0,700,360,1.0,Rural,25,N
Female,Yes,2,Graduate,No,8158,0,700,360,1.0,Urban,51,N
Male,Yes,3+,Graduate,No,6523,0,700,360,1.0,Semiurban,37,N
Male,Yes,1,Graduate,Yes,6557,3652,700,360,1.0,Semiurban,52,N
Female,Yes,0,Graduate,No,5140,2334,700,360,0.0,Semiurban,42,N
Female,No,0,Graduate,No,6321,4304,700,240,1.0,Rural,54,N
Female,Yes,1,Graduate,No,9612,0,700,360,1.0,Urban,30,N
Female,Yes,1,Graduate,No,6330,0,700,360,1.0,Urban,45,N
Male,Yes,1,Not Graduate,No,7496,3419,700,360,1.0,Semiurban,29,N
Male,Yes,0,Graduate,Yes,5422,3395,700,360,1.0,Semiurban,31,N
Female,Yes,1,Graduate,No,6727,0,700,360,1.0,Urban,53,N
Female,No,1,Graduate,No,8728,1984,700,360,1.0,Urban,23,N
Female,No,0,Graduate,No,7379,2428,700,120,0.0,Semiurban,26,N
Female,Yes,0,Graduate,No,4376,3646,700,360,1.0,Semiurban,34,N
Female,No,0,Graduate,No,5540,0,700,360,1.0,Semiurban,33,N
Male,Yes,2,Graduate,No,7326,3151,700,360,0.0,Urban,32,N
Male,No,1,Graduate,Yes,10254,0,700,360,1.0,Semiurban,44,N
Male,No,2,Graduate,Yes,6957,2808,700,360,1.0,Rural,27,N
Male,No,0,Graduate,No,4889,0,700,360,1.0,Rural,54,N
Male,Yes,3+,Not Graduate,No,6343,0,700,360,1.0,Semiurban,60,N
Male,Yes,2,Graduate,No,9441,0,700,360,1.0,Urban,28,N
Male,Yes,0,Graduate,No,5384,0,700,360,1.0,Semiurban,52,N
Male,No,0,Not Graduate,No,5267,2440,700,360,1.0,Urban,28,N
Male,Yes,0,Graduate,No,6258,0,700,180,1.0,Semiurban,30,N
Male,No,3+,Graduate,Yes,7660,3918,700,360,0.0,Rural,29,N
Male,Yes,0,Graduate,Yes,7409,3912,700,360,1.0,Urban,48,N
Female,No,0,Graduate,No,9317,3450,700,360,0.0,Urban,21,N
Male,Yes,0,Graduate,No,6980,2389,700,360,1.0,Urban,51,N
Male,Yes,2,Graduate,No,8044,3638,700,360,1.0,Semiurban,30,Y
Male,Yes,0,Not Graduate,No,6412,1855,700,360,1.0,Semiurban,33,N
Female,Yes,0,Not Graduate,No,6418,6553,700,360,0.0,Semiurban,51,N
Male,Yes,0,Graduate,Yes,5072,0,700,360,1.0,Semiurban,28,N
Female,No,0,Graduate,No,10363,1567,700,360,1.0,Semiurban,31,Y
Male,Yes,0,Not Graduate,No,7785,0,700,360,0.0,Semiurban,62,N
Male,Yes,1,Graduate,No,5491,5101,700,360,1.0,Urban,57,N
Male,No,2,Graduate,No,8239,4791,700,360,1.0,Urban,56,N
Male,Yes,2,Graduate,No,7133,0,700,360,1.0,Urban,50,N
Female,No,2,Graduate,No,8920,2007,700,360,0.0,Semiurban,55,N
Female,No,0,Graduate,No,6867,5123,700,360,1.0,Rural,24,N
Female,Yes,2,Graduate,No,6534,3375,700,360,1.0,Urban,53,N
Male,Yes,0,Graduate,No,6288,0,700,120,1.0,Rural,22,N
Male,Yes,0,Not Graduate,No,7484,0,700,360,0.0,Semiurban,61,N
Female,No,3+,Graduate,No,5502,3951,700,360,1.0,Semiurban,52,N
Male,Yes,2,Graduate,No,6612,5184,700,360,1.0,Rural,33,Y
Male,Yes,1,Graduate,No,9247,0,700,360,1.0,Rural,28,N
Male,No,3+,Graduate,Yes,5690,2280,700,360,1.0,Urban,37,N
Male,Yes,3+,Graduate,No,5727,2448,700,360,1.0,Urban,24,N
Female,No,1,Graduate,No,6265,7676,700,360,1.0,Rural,57,N
Female,No,1,Not Graduate,No,8724,4530,700,240,1.0,Urban,56,N
Female,Yes,2,Graduate,No,7410,3459,700,360,1.0,Rural,38,N
Male,No,0,Graduate,No,9775,2042,700,360,1.0,Semiurban,55,N
Male,No,0,Not Graduate,No,6446,0,700,360,1.0,Semiurban,28,N
Male,Yes,2,Graduate,No,7574,0,700,240,1.0,Urban,60,N
Male,Yes,0,Graduate,No,11848,2107,700,360,1.0,Urban,50,Y
Male,Yes,0,Graduate,No,10472,6143,700,180,0.0,Urban,60,N
Female,Yes,0,Not Graduate,No,9118,0,700,120,1.0,Rural,46,N
Female,No,0,Graduate,No,5082,1925,700,360,1.0,Semiurban,58,N
Male,Yes,3+,Graduate,No,5463,1526,700,360,1.0,Semiurban,26,N
Female,No,1,Graduate,No,4675,0,700,360,1.0,Urban,34,N
Female,Yes,1,Graduate,Yes,8884,0,700,360,0.0,Urban,60,N
Male,Yes,3+,Graduate,No,5487,0,700,360,0.0,Urban,52,N
Female,No,3+,Graduate,No,7728,0,700,360,1.0,Urban,27,N
Male,No,1,Graduate,No,4319,0,700,360,1.0,Rural,59,N
Male,Yes,3+,Graduate,No,10187,5197,700,360,1.0,Semiurban,41,Y
Male,Yes,0,Graduate,No,7996,2573,700,360,1.0,Rural,36,Y
Female,Yes,0,Graduate,No,4078,3056,700,360,1.0,Urban,52,N
Male,Yes,0,Graduate,No,10140,3362,700,360,1.0,Urban,35,Y
Male,Yes,1,Graduate,No,6926,0,700,360,1.0,Semiurban,64,N
Male,Yes,1,Graduate,No,7612,4636,700,360,1.0,Semiurban,48,N
Male,No,1,Graduate,Yes,6012,4876,700,360,1.0,Urban,54,N
Female,Yes,1,Graduate,No,6948,0,700,240,1.0,Semiurban,56,N
Female,No,0,Not Graduate,Yes,5979,3212,700,360,0.0,Urban,54,N
Male,No,0,Graduate,No,7597,0,700,360,1.0,Rural,32,N
Male,Yes,1,Graduate,No,5709,0,700,360,1.0,Rural,25,N
Male,No,0,Graduate,No,9129,2127,700,360,1.0,Urban,32,N
Male,Yes,1,Graduate,No,7395,0,700,360,1.0,Semiurban,59,N
Male,No,1,Not Graduate,No,7096,3345,700,360,1.0,Rural,62,N
Male,Yes,1,Graduate,No,7443,3079,700,360,1.0,Semiurban,45,N
Male,Yes,0,Graduate,No,7156,3571,700,360,1.0,Semiurban,53,N
Female,No,1,Graduate,Yes,5517,2606,700,360,0.0,Rural,23,N
Female,Yes,2,Graduate,No,10725,0,700,360,1.0,Semiurban,28,N
Male,No,3+,Graduate,No,4638,4296,700,360,1.0,Rural,43,N
Male,No,2,Graduate,No,9710,0,700,360,1.0,Semiurban,39,N
Female,Yes,1,Graduate,Yes,9027,3827,700,360,1.0,Semiurban,64,N
Male,Yes,0,Not Graduate,No,8602,3450,700,240,1.0,Semiurban,58,N
Female,Yes,1,Not Graduate,No,5251,0,700,120,1.0,Rural,50,N
Female,Yes,3+,Graduate,No,7748,4428,700,360,1.0,Urban,63,N
Male,No,0,Graduate,No,7668,2901,700,360,1.0,Rural,29,N
Male,Yes,0,Not Graduate,No,6432,0,700,360,1.0,Semiurban,36,N
Female,Yes,0,Graduate,No,7090,2767,700,240,1.0,Urban,21,N
Male,No,2,Graduate,Yes,7039,3973,700,360,1.0,Urban,22,N
Male,Yes,0,Not Graduate,No,4629,3428,700,360,1.0,Urban,33,N
